Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1368500425198;end:1368774040267&fraction_traffic=region:SY;product:19;start:1368500425198;end:1368774040267,SY,Syria,Web Search,2013-05-15,2013-05-15,Daily News Egypt,http://www.dailynewsegypt.com/2013/05/15/internet-telecoms-cut-across-syria-sana/,"Internet, telecoms cut across Syria: SANA","Internet and telecommunications in Syria were down across the country, the state news agency SANA reported on Wednesday, saying a fault with…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1367798403288;end:1368248457739&fraction_traffic=region:SY;product:19;start:1367798403288;end:1368248457739,SY,Syria,Web Search,2013-05-07,2013-05-08,Washington Post,http://www.washingtonpost.com/blogs/worldviews/wp/2013/05/07/web-monitor-syria-has-largely-disappeared-from-the-internet/,Web monitor: ‘Syria has largely disappeared from the Internet’,"The outage appears to have begun at 2:45 p.m. Eastern time, or 9:45 p.m. in Syria. According to a blog post by Umbrella’s chief technology o…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TT;product:19;start:1364324443421;end:1364799659278&fraction_traffic=region:TT;product:19;start:1364324443421;end:1364799659278,TT,Trinidad & Tobago,Web Search,2013-03-29,2013-03-29,Global Voices,http://globalvoicesonline.org/2013/03/31/blackout-has-trinidad-tobago-bloggers-seeing-red/,Blackout has Trinidad & Tobago Bloggers Seeing Red,"Good Friday in Trinidad and Tobago was suddenly dubbed 'Black Friday' as the country descended into darkness, thanks to a nationwide ..."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1357405222410;end:1357538430507&fraction_traffic=region:SY;product:19;start:1357405222410;end:1357538430507,SY,Syria,Web Search,2013-01-06,2013-01-06,USA Today,http://www.usatoday.com/story/news/world/2013/01/06/syria-assad-speech-violence/1811789/,Defiant Assad Pledges to Continue Fighting,"The Internet was cut in many parts of Damascus ahead of the address, apparently for security reasons, and some streets were closed."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SN;product:19;start:1355814047330;end:1356076802498&fraction_traffic=region:SN;product:19;start:1355814047330;end:1356076802498,SN,Senegal,Web Search,2012-12-19,2012-12-19,ARTP Senegal,http://www.artpsenegal.net/page_inter2.php?idmenu=5&id=10104&art=402,Perturbations observées sur les services internet et les communications vers l’international au courant de la nuit du 18 décembre...,"Le 18 décembre, à partir de 22h30 et 19 décembre 2012, l’ARTP a noté des perturbations sur les services Internet..."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1353657624921;end:1354953629193&fraction_traffic=region:SY;product:19;start:1353657624921;end:1354953629193,SY,Syria,Web Search,2012-11-29,2012-12-01,AP,http://bigstory.ap.org/article/syria-rebels-kill-ruling-party-official-bomb,Internet Service Goes Out Across Syria,Activists said President Bashar Assad's regime pulled the plug on the Internet... The government blamed rebel fighters for the outages.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:CN;product:19;start:1352264452024;end:1352689247464&fraction_traffic=region:CN;product:19;start:1352264452024;end:1352689247464,CN,China,Web Search,2012-11-09,2012-11-09,Guardian,http://www.guardian.co.uk/technology/2012/nov/09/google-services-blocked-china-gmail,Google services blocked in China,Google's search engine and its Gmail web email were among the services affected in China...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:HK;product:19;start:1352059208939;end:1352275204340&fraction_traffic=region:HK;product:19;start:1352059208939;end:1352275204340,HK,Hong Kong,Web Search,2012-11-06,2012-11-06,Ars Technica,http://arstechnica.com/information-technology/2012/11/how-an-indonesian-isp-took-down-the-mighty-google-for-30-minutes/,How an Indonesian ISP took down the mighty Google for 30 minutes,"Google's services went offline for many users for nearly a half-hour on the evening of November 5, thanks to an erroneous routing message..."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:ID;product:19;start:1352059208416;end:1352282410768&fraction_traffic=region:ID;product:19;start:1352059208416;end:1352282410768,ID,Indonesia,Web Search,2012-11-06,2012-11-06,Wired,http://www.wired.com/wiredenterprise/2012/11/google-indonesia/,How a Network Snafu in Indonesia Blocked Google in California,"Well, it looks like an error at an internet service provider in Indonesia prevented as much as 5 percent of the world’s internet users from…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:IR;product:6;start:1347606031490;end:1350025253779&fraction_traffic=region:IR;product:6;start:1347606031490;end:1350025253779,IR,Iran,Gmail,2012-09-24,2012-09-29,The Atlantic,http://www.theatlanticwire.com/global/2012/09/google-latest-victim-irans-war-internet/57171/,Google Is the Latest Victim of Iran's War on the Internet,Iran began the process of shutting down citizens' access to the Internet on Sunday by suspending access to Google and Gmail nationwide.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:PK;product:21;start:1341118839837;end:1454503932022&fraction_traffic=region:PK;product:21;start:1341118839837;end:1454503932022,PK,Pakistan,YouTube,2012-09-17,2016-02-03,AFP,http://www.google.com/hostednews/afp/article/ALeqM5jpbjduArEJrz6uueNlrXtFkyepPg?docId=CNG.dec322f25a253822b1ca9cb1386f0791.141,Pakistan blocks YouTube over anti-Islam film,Pakistan blocked access to YouTube on Monday after the video sharing website failed to take down an anti-Islam film...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:BD;product:21;start:1341118811978;end:1370486869838&fraction_traffic=region:BD;product:21;start:1341118811978;end:1370486869838,BD,Bangladesh,YouTube,2012-09-17,2013-06-06,The Independent,http://www.independent.co.uk/news/world/asia/youtube-blocked-in-bangladesh-over-prophet-mohamed-video-8152056.html,YouTube blocked in Bangladesh over Prophet Mohamed video,The government in Bangladesh has blocked YouTube to prevent people from seeing an anti-Islam video...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:AF;product:21;start:1343797250777;end:1359698459247&fraction_traffic=region:AF;product:21;start:1343797250777;end:1359698459247,AF,Afghanistan,YouTube,2012-09-13,2013-01-04,Reuters,http://www.reuters.com/article/2012/09/13/us-protest-afghanistan-youtube-idUSBRE88C0JZ20120913,Afghanistan orders YouTube block over anti-Islam film,Authorities in Afghanistan have ordered that YouTube's website be blocked indefinitely to stop Afghans watching a U.S.-made film...
